epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,22045.1,1.50586,2.19782,1.53069,0.00929,1.5231,0.44829,0.36879,0.34321,0.18336,0.44276,0.3591,0.33825,0.15666,1.78672,3.00644,2.29943,0.01576,0,0.0012674,0.0012674,0.0012674
39,22555.9,1.49593,2.21471,1.49406,0.00998,1.53089,0.47611,0.36658,0.35026,0.18173,0.47287,0.36409,0.34084,0.14818,1.79872,3.03404,2.24413,0.01603,0,0.0012476,0.0012476,0.0012476
40,23068.3,1.53945,2.13361,1.48399,0.00969,1.45995,0.46776,0.37157,0.34985,0.17905,0.45904,0.35411,0.33282,0.1565,1.86373,3.18988,2.26286,0.01703,0,0.0012278,0.0012278,0.0012278
41,23581.6,1.49098,2.17925,1.49856,0.00995,1.48575,0.46352,0.32668,0.33861,0.17934,0.51301,0.31671,0.33014,0.14528,1.78696,2.88271,2.28118,0.01599,0,0.001208,0.001208,0.001208
42,24094.1,1.47817,2.18899,1.46284,0.01002,1.47923,0.42324,0.42145,0.35749,0.18999,0.42187,0.40035,0.35241,0.16786,1.86179,2.94206,2.23071,0.01716,0,0.0011882,0.0011882,0.0011882
43,24613.6,1.48696,2.16058,1.46504,0.00966,1.44183,0.43726,0.40305,0.35553,0.18736,0.39477,0.38225,0.33794,0.15419,1.81384,3.01734,2.24501,0.01609,0,0.0011684,0.0011684,0.0011684
44,25128.1,1.46691,2.15576,1.48948,0.00973,1.48041,0.44207,0.37905,0.33951,0.18642,0.45661,0.39152,0.35649,0.16346,1.84678,3.06465,2.29953,0.01662,0,0.0011486,0.0011486,0.0011486
45,25648.6,1.47708,2.17495,1.49632,0.00943,1.48696,0.44398,0.38404,0.34699,0.18856,0.45741,0.35661,0.33633,0.16001,1.80011,3.14574,2.27188,0.01595,0,0.0011288,0.0011288,0.0011288
46,26163.7,1.48555,2.15445,1.45363,0.00952,1.37272,0.46511,0.38653,0.35933,0.19187,0.50357,0.35661,0.35267,0.15954,1.82954,3.13455,2.28767,0.01607,0,0.001109,0.001109,0.001109
47,26662.3,1.45364,2.15046,1.44611,0.00915,1.42105,0.46364,0.39401,0.3771,0.19359,0.48484,0.39152,0.36173,0.16618,1.78657,3.00032,2.29557,0.01542,0,0.0010892,0.0010892,0.0010892
48,27157.5,1.45625,2.16679,1.44068,0.00971,1.37102,0.45951,0.37315,0.34865,0.18493,0.48341,0.34165,0.3291,0.15602,1.79145,2.96748,2.30878,0.01594,0,0.0010694,0.0010694,0.0010694
49,27657.1,1.46824,2.13515,1.40328,0.00943,1.35716,0.45341,0.40399,0.36608,0.1916,0.46744,0.37406,0.35535,0.16553,1.87235,3.07498,2.28748,0.01702,0,0.0010496,0.0010496,0.0010496
50,28152.7,1.44182,2.02786,1.35112,0.00948,1.32456,0.44751,0.41147,0.36207,0.19471,0.43595,0.38155,0.35082,0.1727,1.82033,2.84509,2.27319,0.01596,0,0.0010298,0.0010298,0.0010298
51,28646.4,1.48667,2.11413,1.40455,0.0094,1.35137,0.44765,0.34763,0.33422,0.17758,0.4796,0.34165,0.32146,0.15577,1.81703,2.84557,2.33208,0.01631,0,0.00101,0.00101,0.00101
52,29142.3,1.43876,2.05772,1.34516,0.00909,1.2755,0.46419,0.34663,0.33096,0.1782,0.44609,0.35162,0.32239,0.14894,1.85809,3.16944,2.37332,0.01636,0,0.0009902,0.0009902,0.0009902
53,29641.5,1.45563,2.08983,1.34136,0.00902,1.25913,0.43134,0.39651,0.34543,0.17115,0.42862,0.39401,0.32915,0.15369,1.8263,3.20888,2.33002,0.01625,0,0.0009704,0.0009704,0.0009704
54,30139.9,1.43029,2.06664,1.35242,0.00914,1.24005,0.46407,0.39085,0.37781,0.19999,0.47492,0.38903,0.37017,0.17235,1.84743,3.05015,2.29842,0.0163,0,0.0009506,0.0009506,0.0009506
55,30635.8,1.43624,2.07203,1.29711,0.00885,1.25331,0.47301,0.399,0.35549,0.18881,0.46937,0.39043,0.35256,0.16196,1.81258,2.98468,2.29377,0.01587,0,0.0009308,0.0009308,0.0009308
56,31135,1.43393,2.06104,1.29577,0.00912,1.20771,0.47477,0.37905,0.33428,0.15941,0.44709,0.34663,0.30021,0.1327,1.88574,3.08392,2.40711,0.01736,0,0.000911,0.000911,0.000911
